Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State
2024,6950,7500,Shak Naushad,SARAN,IND,0,Graduate,,,,Bihar
2024,6951,4765,Shakeel Jamal Shaikh,NORTH GOA,IND,0,Post Graduate,"Rs 70,00,000~ 70 Lacs+",Rs 0~,,Goa
2024,6952,3911,Shakeelahmad.D.Mulla,DHARWAD,IND,0,5th Pass,"Rs 7,23,500~ 7 Lacs+",Rs 0~,,Karnataka
2024,6953,875,Shakil Ahmed,MORADABAD,Samata Party,0,Graduate,"Rs 9,00,000~ 9 Lacs+",Rs 0~,,Uttar Pradesh
2024,6954,3382,Shakil Sawant,RATNAGIRI - SINDHUDURG,IND,0,8th Pass,"Rs 33,07,77,905~ 33 Crore+","Rs 16,94,758~ 16 Lacs+",,
2024,6955,8434,Shakila Hussain,FARIDABAD,Loktantrik Janshakti Party,0,12th Pass,,,,Haryana
2024,6956,205,"Shakthivel, A.J.",TIRUVALLUR,IND,0,Not Given,"Rs 27,70,000~ 27 Lacs+","Rs 7,75,000~ 7 Lacs+",,Tamil Nadu
2024,6957,2553,Shakur,JALORE,IND,0,Graduate,"Rs 53,40,000~ 53 Lacs+","Rs 18,00,000~ 18 Lacs+",,Rajasthan
2024,6958,9129,Sham Lal Gandhi,AMRITSAR,IND,0,Illiterate,"Rs 40,000~ 40 Thou+",Rs 0~,,Punjab
2024,6959,6912,Sham Pawals Rupekar,JALNA,IND,0,Literate,"Rs 27,40,869~ 27 Lacs+","Rs 1,35,600~ 1 Lacs+",,Maharashtra
2024,6960,5057,Shambhavi,SAMASTIPUR,Lok Janshakti Party(Ram Vilas),0,Post Graduate,,,,Bihar
2024,6961,8066,Shambhu Kumar Singh,VAISHALI,BSP,0,Post Graduate,"Rs 11,22,038~ 11 Lacs+",Rs 0~,,Bihar
2024,6962,5037,Shamlia Virji Chaku,KACHCHH,Hindvi Swarajyay Dal,0,8th Pass,"Rs 6,00,350~ 6 Lacs+","Rs 83,530~ 83 Thou+",,Gujarat
2024,6963,7325,Shampa Das,HOWRAH,Bharatiya Nyay-Adhikar Raksha Party,0,Others,"Rs 31,68,000~ 31 Lacs+",Rs 0~,,West Bengal
2024,6964,4951,Shamrao Haribhau Pawar,OSMANABAD,Samnak Janta Party,0,10th Pass,"Rs 18,43,600~ 18 Lacs+",Rs 0~,,Maharashtra
2024,6965,6496,Shamsher Khan Saheb Khan Pathan,BEED,IND,1,Illiterate,,,,Maharashtra
2024,6966,9120,Shamsher Singh Shera,AMRITSAR,IND,1,Graduate,"Rs 23,00,000~ 23 Lacs+",Rs 0~,,Punjab
2024,6967,1734,Shanavas J,ARAKKONAM,IND,0,Post Graduate,"Rs 41,50,000~ 41 Lacs+","Rs 20,00,000~ 20 Lacs+",,Tamil Nadu
2024,6968,6291,Shaniya Oraon,LOHARDAGA,IND,1,8th Pass,"Rs 7,67,058~ 7 Lacs+",Rs 0~,,Jharkhand
2024,6969,309,Shankar Chintaman Chahande,RAMTEK,Vanchit Bahujan Aaghadi,0,10th Pass,"Rs 1,38,42,000~ 1 Crore+","Rs 5,90,000~ 5 Lacs+",,Maharashtra
2024,6970,8992,Shankar Deb Mondal,JAYNAGAR,BSP,0,12th Pass,,,,West Bengal
