Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State,Gender
2024,4503,586,mohd. parvez qureshi,CHHINDWARA,IND,0,Post Graduate,"Rs 4,59,000~ 4 Lacs+",Rs 0~,,Madhya Pradesh,Male
2024,4504,3789,mohd. shafeeq ur rahaman,BIDAR,All India Ulama Congress,0,10th Pass,"Rs 6,25,447~ 6 Lacs+",Rs 0~,,Karnataka,Male
2024,4505,868,mohd. shahjad,BIJNOR,IND,0,12th Pass,,,,Uttar Pradesh,Male
2024,4506,8205,mohd. waqar choudhary,EAST DELHI,BSP,0,12th Pass,"Rs 12,15,43,467~ 12 Crore+","Rs 6,07,06,301~ 6 Crore+",,NCT OF Delhi,Male
2024,4507,902,mohibbullah,RAMPUR,SP,3,Post Graduate,"Rs 45,05,342~ 45 Lacs+",Rs 0~,,Uttar Pradesh,Male
2024,4508,8898,mohinder singh kaypee,JALANDHAR,SAD,0,Graduate Professional,"Rs 11,63,01,173~ 11 Crore+","Rs 53,72,432~ 53 Lacs+",,Punjab,Male
2024,4509,4848,mohite devendra nana,HATKANANGALE,IND,0,Others,"Rs 9,80,095~ 9 Lacs+",Rs 0~,,Maharashtra,Male
2024,4510,4929,mohite-patil dhairyasheel rajsinh,MADHA,Nationalist Congress Party – Sharadchandra Pawar,36,Post Graduate,,,,Maharashtra,Male
2024,4511,2353,mohith narasimhamurthy,CHIKKBALLAPUR,IND,0,10th Pass,"Rs 31,55,000~ 31 Lacs+","Rs 2,54,50,000~ 2 Crore+",,Karnataka,Male
2024,4512,7913,mohiuddin ahmed mahi,TAMLUK,All India Secular Front,0,Post Graduate,"Rs 96,000~ 96 Thou+",Rs 0~,,West Bengal,Male
2024,4513,7512,mohmad haneefa,LADAKH,IND,0,10th Pass,"Rs 3,27,61,570~ 3 Crore+","Rs 1,50,000~ 1 Lacs+",,Ladakh,Male
2024,4514,1949,mohmmad ajaz mohmmad taher,AKOLA,Azad Adhikar Sena,0,8th Pass,"Rs 7,60,000~ 7 Lacs+","Rs 10,000~ 10 Thou+",,Maharashtra,Male
2024,4515,894,mohmmad shahid husain,PILIBHIT,IND,0,12th Pass,,,,Uttar Pradesh,Male
2024,4516,87,mohmmad siddiq m h,ARANI,IND,0,Others,"Rs 6,50,000~ 6 Lacs+",Rs 0~,,Tamil Nadu,Male
2024,4517,8351,mohram ali,PRATAPGARH,IND,3,8th Pass,"Rs 14,32,500~ 14 Lacs+","Rs 1,00,000~ 1 Lacs+",,Uttar Pradesh,Male
2024,4518,2918,moinuddin,KOTA,IND,0,8th Pass,"Rs 50,200~ 50 Thou+",Rs 0~,,Rajasthan,Male
2024,4519,336,moirangthem totomshana nongshaba,INNER MANIPUR,IND,0,Graduate,"Rs 40,000~ 40 Thou+",Rs 0~,,Manipur,Male
2024,4520,5794,mokalla muralikrishna,MAHABUBABAD,IND,5,5th Pass,,,,Telangana,Male
2024,4521,5915,molugu venkatesh,PEDDAPALLE,New India Party,0,Post Graduate,"Rs 20,000~ 20 Thou+",Rs 0~,,Telangana,Male
2024,4522,3518,monatan hembram,MALDAHA UTTAR,IND,0,Graduate,"Rs 1,13,500~ 1 Lacs+",Rs 0~,,West Bengal,Male
2024,4523,3071,moni falhari bapu,MATHURA,IND,1,Literate,"Rs 1,50,000~ 1 Lacs+",Rs 0~,,Uttar Pradesh,Male
2024,4524,3516,monju hembrom,MALDAHA UTTAR,IND,0,10th Pass,"Rs 9,61,572~ 9 Lacs+","Rs 4,00,000~ 4 Lacs+",,West Bengal,Female
2024,4525,8379,moolniwasi hemraj singh,ALLAHABAD,Peoples Party of India (Democratic),0,Post Graduate,,,,Uttar Pradesh,Male
2024,4526,1618,moorthi j,NAMAKKAL,IND,1,5th Pass,"Rs 11,77,000~ 11 Lacs+",Rs 0~,,Tamil Nadu,Male
